# fundamentals
Which component selects a node for a newly created Pod? | kube-scheduler | kubelet | etcd | CoreDNS | The scheduler selects placement. The kubelet then manages execution on the selected node. | control-plane
Can two containers in the same Pod both bind the same IP and port at once? | Normally no, because they share the port space | Yes, because every container always has a separate Pod IP | Only if they share an image tag | Yes, namespaces make all ports unique | Shared networking means port bindings can conflict inside one Pod. | pods
Which Linux feature controls resource consumption for container processes? | cgroups | Container image tags | DNS search paths | YAML annotations | Control groups account for and constrain resources. Linux namespaces provide isolation of system views. | containers
Which Linux feature isolates process views such as PID and network spaces? | Namespaces | ResourceQuota | Helm values | Registry mirrors | Linux namespaces isolate system views; Kubernetes namespaces are a different API organization concept. | containers
A Docker-built image is deployed to a containerd-based Kubernetes node. What is generally true? | Compatible OCI images can run without Docker Engine | Docker Engine must always be installed | The image becomes a virtual machine | Kubernetes cannot use registries | Image compatibility and runtime integration are separate; Docker Engine is not required for compatible images. | containers
Why avoid writing essential state only inside a container's writable layer? | It is not durable across container replacement | It is automatically backed up by etcd | It cannot be read by the process | It prevents network access | Container-local writable state is ephemeral; use appropriate persistent storage for durable data. | containers
A manifest sets replicas to five but status reports three ready. What does this mean? | Desired and observed states currently differ | spec is always invalid | All five are serving traffic | The API server cannot count | spec and status are different views; investigate why the requested replicas are not ready. | objects
A Service selector expects app=web but Pods have app=frontend. What should be corrected? | The mismatch between labels and selector | The cluster's name | Every container's CPU limit | The etcd storage format | Matching labels connect the Service to its Pods. A selector mismatch leaves no selected backends. | objects
What is an appropriate use of kubectl logs? | Read a container's standard output/error logs | List every registry image | Change a role binding | Schedule Pods on a node | logs retrieves container output, not node placement or permissions. | namespaces
What is an appropriate use of kubectl exec? | Run a command inside a running container | Rebuild an image in the registry automatically | Modify the Kubernetes scheduler source code | Create a billing account | exec runs a command in a container subject to authorization and container capabilities. | namespaces
Does creating separate namespaces automatically isolate all network traffic? | No, network isolation needs suitable policy and enforcement | Yes, all traffic is denied by default | Yes, including host networking | Only on Mondays | Namespaces organize resources; networking behavior requires separate controls such as NetworkPolicy. | namespaces
Which setting attracts a Pod toward matching nodes using richer expressions than nodeSelector? | Node affinity | Container image digest | PVC reclaim policy | A ConfigMap key | Node affinity expresses required or preferred node placement rules. | scheduling
A matching toleration exists but the node lacks sufficient requested CPU. What happens? | The Pod still cannot be scheduled there on that basis | The toleration overrides all CPU checks | The CPU request becomes a memory request | The Pod becomes a DaemonSet | Tolerations address taints only; resource feasibility and other constraints still apply. | scheduling
Which object can supply default CPU requests within a namespace? | LimitRange | EndpointSlice | PersistentVolume | IngressClass | LimitRange can define default requests and limits; it is not a scheduling controller. | scheduling
Why can a node with low actual CPU usage reject a Pod? | Existing requests can leave insufficient schedulable capacity | The scheduler uses only yesterday's logs | Low usage always blocks scheduling | Pods require zero requests | Placement considers resource requests and allocatable capacity, not simply instantaneous usage. | scheduling
An HPA adds replicas but they remain Pending for lack of capacity. What also needs attention? | Available node capacity | Image description text | Annotation spelling only | Log timestamps | More replicas need resources on nodes; workload autoscaling alone does not supply cluster capacity. | configuration
Which Kubernetes object represents a workload's sensitive credential data? | Secret | Public annotation | Service selector | Node label | A Secret is intended for sensitive configuration, but still needs proper encryption and access controls. | configuration
Why separate configuration from container images? | Reuse the same image across environments with different settings | Make all secrets publicly readable | Eliminate all runtime dependencies | Avoid using API objects | External configuration lets tested images be promoted without rebuilding for each environment. | configuration
Which change is vertical scaling? | Increasing resources allocated to an application instance | Adding more identical replicas | Adding a namespace | Creating a Service | Vertical scaling increases per-instance resources; horizontal scaling adds instances. | configuration
# orchestration
Which Service type is the usual choice for internal cluster access? | ClusterIP | NodePort | ExternalName with no target | LoadBalancer only | ClusterIP provides an internal virtual access point; external exposure needs additional mechanisms. | services
What must exist to implement an Ingress resource's routing rules? | An Ingress controller | A CronJob | A ConfigMap alone | A second etcd cluster | An Ingress resource is configuration; a controller implements the traffic routing. | services
Which interface is associated with Kubernetes storage drivers? | CSI | CRI | CNI | OCI runtime spec | CSI integrates volume operations with storage providers. | interfaces
Which interface is associated with Pod networking plugins? | CNI | CSI | CRI | RBAC | CNI concerns container networking; storage and runtime integration use different interfaces. | interfaces
What is the purpose of a PVC? | Request persistent storage for a workload | Expose a Pod on the internet | Store cluster users | Run an image build | A claim requests storage and binds to a suitable PersistentVolume. | storage
Which resource commonly enables dynamic volume provisioning? | StorageClass | ServiceAccount | ReplicaSet | Ingress | StorageClasses describe storage classes and provisioners used to satisfy suitable claims. | storage
What happens to emptyDir data when its Pod is removed? | The data is lost | It always becomes a PV | It moves to etcd | It automatically follows the replacement Pod | emptyDir is scoped to the Pod lifetime, though it can survive a container restart within that Pod. | storage
Which question does authentication answer? | Who is making the request? | Which node has most memory? | How many replicas are needed? | Which route is fastest? | Authentication establishes identity; authorization evaluates allowed actions. | rbac
Which question does authorization answer? | Is this identity allowed to perform this action? | Is the image compressed? | Is the node physically present? | What is the application's source code? | Authorization evaluates permissions after identity is established. | rbac
What does a RoleBinding normally scope permissions to? | Its namespace | Every cluster in an organization | All namespaces automatically | Every cloud account | A RoleBinding grants permissions in its own namespace, even when referencing a ClusterRole. | rbac
Which identity is normally associated with a workload calling the Kubernetes API? | ServiceAccount | StorageClass | IngressClass | PersistentVolume | ServiceAccounts supply workload identity; RBAC determines what it can do. | rbac
A Pod shows ImagePullBackOff. Which investigation is most relevant first? | Image reference and registry access | The dashboard color palette | CronJob timezone | The Service's external DNS only | ImagePullBackOff signals failed image retrieval with retries; inspect image and registry credentials/connectivity. | triage
A container repeatedly exits after startup. Which evidence is most useful? | Container logs and exit status | Only the Service's name | Only the namespace creation date | A random node restart | Logs and termination status reveal application startup errors and resource or configuration failures. | triage
A NetworkPolicy exists but traffic remains unrestricted. What should you verify? | The networking implementation enforces NetworkPolicy | The Secret is base64 encoded twice | Every Pod has a PVC | The image was built by Docker | Policy behavior depends on a network implementation that supports and enforces it. | hardening
What does a Service provide when Pod IPs change? | A stable abstraction for reaching matching Pods | A permanent Pod identity | Automatic database backups | Container image compilation | Services decouple clients from transient Pod addresses. | services
Which Service type exposes a port on cluster nodes? | NodePort | ClusterIP only | ConfigMap | Job | NodePort exposes a Service through a node port, subject to network reachability and policy. | services
A LoadBalancer Service stays without an external IP on a local cluster. Why might that happen? | No compatible load-balancer implementation is installed | Every Service requires a public cloud account | The API server cannot store Services | The Pod must be a Job | LoadBalancer relies on an implementation or integration to provision the external access point. | services
Which feature normally resolves Kubernetes Service names? | Cluster DNS | CSI | The image registry | ResourceQuota | Cluster DNS, often CoreDNS, provides service discovery names. | services
A Service has no ready endpoints. What should you check? | Pod labels, selector and readiness | Helm's logo | Node hostnames only | All image layer sizes | Selectors choose Pods, while readiness controls normal traffic eligibility. | services
What does targetPort on a Service identify? | The port on backend Pods receiving traffic | The API server's authentication port | A registry's build queue | An etcd backup folder | targetPort maps Service traffic to the workload's listening port. | services
What is a service mesh typically used for? | Service-to-service traffic policy and telemetry | Replacing all worker operating systems | Storing every container image | Defining PV capacity | A mesh adds communication controls and telemetry above basic networking. | interfaces
Does Kubernetes require a service mesh for basic Pod networking? | No | Yes, on all clusters | Only if there are two Pods | Yes, unless every app is stateful | Basic Pod networking works through the cluster network implementation without a mesh. | interfaces
A volume cannot attach through a storage provider. Which integration is most relevant? | CSI driver | CoreDNS plugin only | CI build agent only | Image registry mirror only | Volume attach and mount behavior involves storage integration, commonly through CSI. | interfaces
What does ReadWriteOnce generally constrain? | Read-write mounting to a single node | Read access to one user | Exactly one Pod in every situation | One write operation per second | ReadWriteOnce concerns node-level mount access; multiple Pods on that node can be possible. | storage
Does persistent storage automatically provide a database backup? | No, backup and restore require separate design | Yes, every PVC is a backup | Yes, only when named production | Yes, because etcd stores the database rows | Persistence survives some workload lifecycles; backups protect against deletion, corruption and other loss modes. | storage
What does a PV reclaim policy influence? | What happens to storage after the claim is released | Which node has the newest kernel | How Pods resolve DNS | Which user owns a source repository | Reclaim behavior such as Retain or Delete affects released storage; understand it before removing claims. | storage
A backup tool needs only to list Pods in one namespace. Which principle should guide its RBAC? | Least privilege | Give cluster-admin for convenience | Disable authorization | Share every human administrator credential | Grant the specific read verbs and scope needed, rather than broad administrative access. | rbac
A RoleBinding references a ClusterRole that allows reading Pods. Where does that binding grant the access? | Within the RoleBinding's namespace | Automatically in every namespace | Across every registered cluster | Only inside the container filesystem | The referenced rule definition can be reusable while the binding remains namespaced. | rbac
What is the role of admission control for applicable API requests? | Validate or mutate requests before persistence | Schedule every Pod | Resolve Service DNS names | Build application binaries | Admission follows authentication and authorization for applicable requests and can enforce policy. | rbac
Why should a container normally avoid privileged mode? | It gives broader host access than most applications need | It prevents image pulls | It automatically disables DNS | It forces three replicas | Avoiding unnecessary privilege reduces the impact of compromise; use the minimum capabilities required. | hardening
What does image signing primarily help establish? | Artifact authenticity and provenance | Guaranteed absence of all vulnerabilities | Infinite image retention | Automatic application correctness | Signatures support trust in origin and integrity, but do not prove software is bug-free or vulnerability-free. | hardening
Which control protects data in transit? | TLS | Base64 encoding | A larger PVC | A namespace label | TLS provides transport protection; encoding and resource sizing do not encrypt network traffic. | hardening
A process failed and restarted. Which command option can retrieve the previous container instance's logs? | kubectl logs --previous | kubectl get pods --all-images | kubectl describe --encrypt | kubectl apply --history-only | --previous reads logs from the previous terminated container instance when available. | triage
A Pod is Pending with an unbound claim. What should you investigate? | PVC status and storage provisioning | Application HTTP response headers only | The browser cache | The image's documentation license | Storage claims can block scheduling; inspect events, class configuration and provisioning. | triage
An application returns HTTP 500 through its Service. What does that establish? | A request reached an HTTP endpoint, but application investigation is still needed | DNS must be broken | The scheduler is definitely down | The PVC is certainly full | An HTTP response indicates a working path to some endpoint; logs and application evidence are needed for root cause. | triage
Which evidence best separates a DNS issue from an application startup crash? | Name-resolution results plus Pod state and logs | Only the cluster logo | The number of namespaces | The image author name | Different layers need different observations; DNS results and process state distinguish the symptoms. | triage
What should usually happen before deleting a failing Pod during investigation? | Capture useful events and logs | Delete all PVCs | Remove namespace RBAC | Change every image tag | Deletion can discard evidence. Inspect and preserve useful data before changing state. | triage
Which Kubernetes resource declares permitted network traffic for selected Pods? | NetworkPolicy | ClusterRole | LimitRange | StorageClass | NetworkPolicy expresses traffic rules; RBAC governs API requests instead. | hardening
A container only needs to serve static files. Which configuration most reduces unnecessary filesystem writes? | Read-only root filesystem where compatible | Privileged mode | Host PID namespace | Cluster-admin binding | A read-only root filesystem can reduce write capability, provided necessary writable paths are handled separately. | hardening
What is a PersistentVolume? | A cluster storage resource that can satisfy a claim | A running Pod's CPU limit | A namespace-specific login identity | An HTTP routing rule | PVs represent storage available to workloads through claims, distinct from networking or identity objects. | storage
A container restarts inside the same Pod. What is generally true of its emptyDir? | It can remain available | It is always erased on any container restart | It becomes a Secret | It is copied to all nodes | emptyDir follows Pod lifetime rather than an individual container instance. | storage
A Pod can reach an IP but cannot resolve a Service name. Which area deserves attention? | DNS configuration and DNS traffic | Image signing only | Container image layer count | PV reclaim policy | IP reachability with failed name resolution points toward DNS configuration or access to DNS. | services
# delivery
What is the main purpose of continuous integration? | Frequently build and test integrated code changes | Manually approve every DNS query | Replace the container runtime | Expand every PVC | CI checks integration of changes through automated build and testing stages. | delivery-pipeline
How does continuous deployment differ from continuous delivery? | Passing changes are released to production automatically | It never runs tests | It forbids version control | It only applies to virtual machines | Continuous delivery keeps releases ready; continuous deployment automates the production release after gates pass. | delivery-pipeline
Which practice improves consistency between tested and production artifacts? | Build once and promote the same immutable image | Rebuild from an unpinned branch in every environment | Edit running containers manually | Use latest without tracking changes | Promoting the tested artifact avoids introducing untested differences through rebuilding. | delivery-pipeline
What is central to GitOps? | Versioned declarative state continuously reconciled by agents | Only storing shell history in Git | Giving everyone cluster-admin | Avoiding configuration review | GitOps combines declarative, versioned state with agent-driven reconciliation. | gitops
Which tool is an example of a Kubernetes GitOps delivery controller? | Argo CD | CoreDNS | containerd | etcd | Argo CD reconciles applications from desired configuration; the other tools solve DNS, runtime and state-store concerns. | gitops
What does a readiness probe primarily control? | Whether a Pod should receive Service traffic | Whether a new image is built | Whether the container must always restart | Whether a PV is deleted | Readiness failure removes normal traffic eligibility rather than itself restarting a container. | probes
What is a Helm chart? | A package of related Kubernetes templates and configuration | A physical storage device | A Pod network address | A Linux kernel module | Charts package Kubernetes application configuration; installed instances are releases. | releases
Which strategy initially sends a limited portion of traffic to a new version? | Canary | Immediate full replacement | A one-off Job | Namespace deletion | Canary releases limit initial exposure and use evidence before broadening rollout. | releases
A team requires human approval before production release but automated preparation. Which approach fits? | Continuous delivery | Continuous deployment with no approval | No continuous integration | Manual builds only | Continuous delivery can automate readiness for release while retaining a human production decision. | delivery-pipeline
Why is a successful image build insufficient evidence of a successful release? | Runtime behavior and user-facing health can still fail | Images never run in Kubernetes | Tests always guarantee production health | Kubernetes automatically rewrites broken code | Configuration, dependencies and production conditions can fail even when build steps succeeded. | delivery-pipeline
A manual cluster change is repeatedly undone by a controller tracking Git. Why? | Reconciliation restores the declared state | The registry deletes all files | DNS changes the manifest | The kubelet reads source-code comments | GitOps controllers can reconcile live drift back to the configured desired state. | gitops
Does reverting a Git commit automatically reverse a database migration? | No, data changes need their own recovery plan | Yes, every database understands Git | Only if the cluster has CoreDNS | Yes, if a Deployment exists | Configuration rollback and data rollback are different operations; migrations require deliberate recovery design. | gitops
What is a blue-green release? | Switch traffic between old and new deployment environments | Change Pod colors in a dashboard | Run all versions in one container process | Delete the cluster and rebuild it | Blue-green keeps separate environments and changes the traffic target after validation. | releases
What does maxSurge allow during a Deployment rolling update? | Temporary extra Pods above desired replicas | Unlimited failed health checks | Automatic PV duplication | An extra cluster administrator | maxSurge controls temporary additional capacity used during a rollout. | releases
What does a liveness probe failure eventually trigger after its threshold? | Container restart according to probe behavior | Only removal of an annotation | Automatic source-code repair | Deletion of all Secrets | Liveness checks detect conditions where restarting may help; thresholds govern failure action. | probes
Which probe is useful for protecting a slowly starting application? | Startup probe | PVC capacity check only | Service selector | Image signature only | A startup probe delays normal liveness and readiness probing until startup succeeds. | probes
Which pipeline stage should create the distributable container artifact? | Image build | Service discovery | Pod eviction | PV binding | The build stage produces an image that can be tested, scanned, stored and promoted. | delivery-pipeline
Where should desired configuration normally be changed in a GitOps workflow? | In the version-controlled source through the team's review process | Only by editing a running container | Only by rewriting etcd files directly | In a public DNS TXT record | Updating the declared source makes the change reviewable and prevents reconciliation undoing it as drift. | gitops
What does drift mean in a GitOps context? | Live state differs from declared desired state | A container uses floating-point numbers | A PV has more free space | The cluster is in another region | Drift is a mismatch between intended and running configuration, often caused by out-of-band changes. | gitops
What is a Helm release? | An installed instance of a chart | An uncompressed image layer | A ClusterIP address | A node operating-system patch | A chart is the package; a release is a particular installation with values and history. | releases
Which tool applies overlays to base Kubernetes manifests? | Kustomize | etcd | CoreDNS | containerd | Kustomize composes and customizes resource configuration using bases and overlays. | releases
A readiness probe fails. What is the expected immediate purpose of this signal? | Stop normal Service traffic to the unready Pod | Rebuild the image | Increase the PV size | Grant cluster-admin | Readiness governs availability for traffic; it does not itself mandate a restart. | probes
Why is checking a fragile external dependency in liveness potentially harmful? | A dependency outage can cause unnecessary restart loops | It guarantees more available memory | It disables image scanning | It changes every Service to LoadBalancer | Liveness should reflect whether restarting the container is useful, not merely whether a dependency is temporarily unavailable. | probes
A Deployment rollback restores the old image but errors remain. Why is that possible? | Persistent data or external dependencies may still be incompatible | Rollbacks always erase all database changes | Old images cannot run twice | Every rollback disables networking | Workload revision rollback does not reverse all external state, data migrations or dependency changes. | probes
# architecture
Which signal is most suited to tracking an error rate over time? | Metrics | Image tags | RBAC bindings | Namespace names | Metrics represent numerical observations over time, making rates and trends measurable. | observability
Which signal connects operations across a request's path through several services? | Distributed trace | Container image manifest | StorageClass | Node taint | Traces link spans across a request, showing relationships and latency contributions. | observability
What is Prometheus primarily used for? | Collecting and querying time-series metrics | Building container images | Scheduling Pods | Issuing Kubernetes user accounts | Prometheus is a monitoring and metrics system, not a scheduler or build service. | observability
Does cloud native require hosting in a public cloud? | No, the principles also apply on premises | Yes, by definition | Only for Kubernetes | Yes, unless all apps use Windows | Cloud native describes architecture and operational approaches, not a mandatory hosting location. | cloud-native
What is an important microservices trade-off? | Independent deployment brings distributed-system complexity | Network failures disappear | Observability becomes unnecessary | Every service must share one database schema | Separate services can evolve independently but create network, consistency and operational challenges. | cloud-native
Which is a valid open-source contribution? | Improving documentation with the project's contribution process | Publishing users' credentials | Ignoring the code of conduct | Copying private exam questions | Documentation, testing and constructive issues are valuable contributions alongside code. | ecosystem
What is OpenTelemetry primarily intended to provide? | Vendor-neutral instrumentation and telemetry collection/export components | A complete mandatory dashboard and storage backend | A Kubernetes scheduler replacement | An image registry only | OpenTelemetry helps produce and route telemetry; backends supply storage, analysis and visualization. | observability
What is the relationship between an SLI and an SLO? | An SLI measures behavior; an SLO sets a target | An SLO is a container runtime and an SLI a volume | They always refer to CPU hardware | Both are image formats | SLIs quantify service behavior, while SLOs define intended performance or reliability levels. | observability
What does an error budget express? | Tolerated unreliability within a target period | Money reserved for registry storage | Number of Kubernetes administrators | Maximum image layer size | An error budget derives from a reliability objective and its allowed failure proportion. | observability
Which statement about serverless is accurate? | Infrastructure still exists but more of its operation is abstracted | No servers execute the code | It cannot use events | It guarantees zero cost | Serverless shifts operational responsibilities; it does not eliminate physical or virtual compute. | cloud-native
Which pattern can improve resilience during dependency failures? | Bounded retries with timeouts and appropriate backoff | Unlimited immediate retries forever | One global administrator password | Disabling all monitoring | Bound retries and timeouts prevent uncontrolled waiting and retry amplification. | cloud-native
What do CNCF maturity levels primarily describe? | Project and community maturity criteria | Guaranteed suitability for every workload | Application revenue | Number of installed CPUs | Maturity stages describe project development and governance criteria, not universal fitness. | ecosystem
A dashboard needs visualizations of data from multiple backends. Which tool fits? | Grafana | containerd | CoreDNS | CRI-O | Grafana visualizes queried data; collection and storage can be supplied by other systems. | observability
What is a log best described as? | A record of an event or message | A count of desired replicas only | A container image signature | A networking interface specification | Logs capture event details and complement numerical metrics and request traces. | observability
Which example is horizontal scaling? | Adding more application instances | Giving one instance more RAM | Enlarging one process's heap only | Increasing one VM's CPU count | Horizontal scaling adds instances; vertical scaling changes resources per instance. | cloud-native
Why is simply containerizing a monolith insufficient to guarantee resilience? | Failure handling and operational design are still required | Containers cannot restart | Kubernetes requires microservices | Images cannot run on premises | Packaging is only one part of the system; resilience needs appropriate architecture and operations. | cloud-native
What should a useful open-source bug report include? | Reproduction steps, environment and sanitized evidence | Production passwords | Only an angry subject line | An unrelated feature demand | Maintainers need reproducible, relevant information without exposed secrets to diagnose issues. | ecosystem
What is a Kubernetes SIG? | A special interest group focused on a subject area | A storage encryption algorithm | A container image registry | An exam score guarantee | SIGs organize Kubernetes community collaboration around particular areas of responsibility. | ecosystem
